fast,slow,portfolio
14,28,138765.87
14,27,138647.41999999998
27,29,138633.09000000003
25,29,138497.0
15,24,138443.53999999998
14,26,138423.06
20,21,138189.56999999998
12,52,138157.38
15,20,138081.93999999997
25,26,138027.89999999997
15,29,137959.43
14,45,137914.76
14,41,137875.02000000002
14,29,137865.56
14,30,137865.56
26,28,137857.46000000002
18,23,137851.61
16,21,137838.62
14,42,137827.12
14,43,137827.12
14,44,137827.12
25,28,137780.66999999998
14,46,137765.63
14,47,137765.63
14,17,137765.03
17,25,137751.96
12,60,137668.93
11,57,137653.12
12,55,137653.12
26,29,137636.78999999998
12,22,137626.03999999998
15,21,137621.3
16,24,137577.18
14,37,137558.64999999997
14,38,137544.78999999998
14,40,137543.59999999998
15,19,137518.55
17,18,137488.77000000005
10,26,137427.39
20,22,137423.09999999998
19,29,137366.91999999998
18,25,137352.75
12,58,137295.96
11,60,137295.96
11,58,137295.96
11,59,137295.96
12,59,137295.96
14,59,137265.64
14,60,137265.64
25,30,137164.08
13,51,137162.19
13,50,137162.19
17,29,137160.63
14,18,137157.86000000002
19,28,137137.64
26,30,137124.77
14,48,137095.75
24,31,137091.44
24,29,137076.09
13,60,137064.07
13,59,137064.07
14,56,137048.26
15,32,137000.53999999998
14,35,137000.53999999998
14,36,137000.53999999998
16,30,137000.53999999998
16,29,137000.53999999998
15,30,137000.53999999998
15,31,137000.53999999998
14,54,136973.19
14,55,136973.19
20,30,136937.21
16,17,136918.64999999994
14,34,136906.66999999998
14,31,136906.66999999998
19,20,136893.00999999995
17,26,136864.13
30,31,136794.94
19,21,136789.65000000002
15,27,136778.28
13,56,136694.22999999998
13,55,136694.22999999998
12,56,136694.22999999998
13,58,136691.1
14,57,136691.1
14,58,136691.1
13,57,136691.1
13,54,136619.15999999997
12,54,136619.15999999997
26,32,136551.17
22,25,136549.36999999997
18,59,136538.5
18,60,136538.5
22,28,136488.61000000002
22,30,136483.71
25,33,136464.76
21,28,136444.27000000002
13,20,136435.78000000003
15,45,136416.61000000002
15,44,136416.61000000002
15,43,136416.61000000002
16,43,136416.61000000002
22,27,136400.97
15,41,136376.87
16,26,136360.97999999998
19,25,136355.13
12,57,136337.07
15,17,136332.54999999996
15,42,136328.97
19,59,136296.01
20,59,136296.01
16,45,136267.48
16,44,136267.48
15,46,136267.48
16,18,136263.73
12,21,136212.08
13,21,136202.95
19,30,136171.15000000002
18,58,136165.53
13,52,136127.72999999998
12,53,136127.72999999998
13,53,136127.72999999998
20,26,136125.8
11,24,136069.37
11,23,136060.86
17,30,136060.5
18,31,136046.64
18,30,136046.64
16,38,136046.64
15,39,136045.45
15,40,136045.45
21,23,136039.37999999998
15,28,136027.23
24,28,136019.06000000003
22,32,136018.22999999998
20,28,136003.62
26,33,136002.3
20,58,135984.41999999998
19,58,135984.41999999998
12,23,135977.52
13,19,135909.77000000002
25,32,135895.24
24,30,135884.14999999997
16,27,135877.97
21,32,135877.39
17,44,135859.0
18,44,135859.0
17,43,135806.56
17,42,135806.56
22,23,135804.31
19,26,135798.71999999997
17,40,135766.82
16,40,135766.82
19,60,135763.99
20,60,135763.99
15,49,135719.47
16,49,135719.47
17,41,135718.91999999998
16,41,135718.91999999998
16,42,135718.91999999998
17,32,135706.46999999997
15,37,135706.46999999997
15,36,135706.46999999997
17,31,135706.46999999997
16,36,135706.46999999997
16,37,135692.61
15,38,135692.61
14,39,135691.41999999998
15,51,135664.04
15,50,135664.04
20,32,135647.38
21,33,135617.33000000002
20,57,135611.45
19,57,135611.45
15,48,135597.6
15,47,135597.6
16,48,135597.6
16,47,135597.6
16,46,135597.6
24,59,135537.33000000002
27,31,135509.04
24,60,135506.06
25,59,135506.06
18,26,135506.03000000003
19,42,135454.05
18,35,135450.45
19,33,135436.59000000003
18,37,135436.59000000003
17,37,135436.59000000003
18,36,135436.59000000003
18,32,135436.59000000003
18,33,135436.59000000003
19,32,135435.40000000002
19,31,135435.40000000002
16,39,135435.40000000002
17,38,135435.40000000002
17,39,135435.40000000002
19,39,135414.31
15,59,135413.46
16,56,135397.65
15,56,135397.65
15,57,135397.65
19,40,135366.40999999997
19,41,135366.40999999997
14,49,135365.43999999997
21,29,135355.24
23,47,135344.75
22,26,135340.25999999998
16,55,135322.58
23,60,135319.39
23,31,135315.48000000004
18,48,135310.99
18,47,135310.99
14,50,135310.00999999998
14,51,135310.00999999998
18,43,135304.91999999998
19,43,135304.91999999998
28,29,135283.24999999997
19,27,135281.71
21,31,135278.87000000002
16,60,135275.25
18,29,135262.57
18,42,135252.48
23,25,135241.06
17,28,135228.43
18,28,135214.57
18,40,135212.74
17,45,135189.12
18,46,135189.12
18,45,135189.12
23,32,135172.78000000003
18,41,135164.84
22,29,135150.97
15,33,135148.36
16,34,135148.36
16,33,135148.36
15,34,135148.36
16,32,135148.36
15,35,135148.36
16,35,135148.36
16,31,135148.36
25,60,135140.47999999998
15,55,135121.01
15,54,135121.01
25,36,135119.97999999998
17,48,135109.41999999998
17,49,135109.41999999998
18,34,135096.41999999998
17,33,135096.41999999998
17,35,135096.41999999998
17,36,135096.41999999998
17,34,135096.41999999998
18,49,135053.99
16,51,135053.99
18,50,135053.99
